config,auc,ap,ece
Full,0.9796992,0.9697344608228283,0.01251228561377012
-Affect,0.9778224,0.9676880330912966,0.014587246065035515
-Moral,0.9803807999999999,0.9705149478275189,0.0118473459025344
-Outgroup,0.97972,0.969609514155041,0.014034053515567406
-Rhetoric,0.9798608,0.969904090525792,0.01380828371039267
-Info-affect,0.979328,0.9695740696237753,0.012065836265477222
-Neutralization,0.9801375999999999,0.969722664361943,0.013965500098498692
-Topic-residual,0.9800896000000001,0.9699604064588991,0.01379232061067751
-Semantic,0.7005264000000001,0.5494914048109215,0.05740716568636084
